Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Cancellation Impact
Bilekhalli,"3,41,292","3,37,884","2,79,585","1,38,524",135758.0,"86,611",99.0%,82.7%,49.5%,98.0%,49113.0,36.2%,25.4%,"₹1,23,55,272",8.19,₹144.87,"6,96,746",36.176873554413
Lal Bahadur Nagar,"2,98,439","2,96,273","2,33,434","1,30,990",128841.0,"85,453",99.3%,78.8%,56.1%,98.4%,43354.0,33.7%,28.6%,"₹1,17,87,280",7.19,₹129.90,"6,63,330",33.649226566077566
Hombegowda Nagara,"2,97,006","2,95,059","2,42,405","1,34,879",132613.0,"84,882",99.3%,82.2%,55.6%,98.3%,47700.0,36.0%,28.6%,"₹1,02,91,927",6.4,₹119.14,"5,72,545",35.969324274392406
Sanjaya Nagar,"2,32,325","2,30,554","1,73,003","1,26,576",123907.0,"84,364",99.2%,75.0%,73.2%,97.9%,39515.0,31.9%,36.3%,"₹1,19,50,621",7.31,₹130.66,"6,90,457",31.890853624089033
Jalakanteshwara Nagara,"3,41,355","3,38,254","2,85,154","1,27,964",126460.0,"84,108",99.1%,84.3%,44.9%,98.8%,42323.0,33.5%,24.6%,"₹1,23,21,916",8.16,₹146.14,"6,90,292",33.46749960461806
Subramanya Nagar,"2,27,183","2,24,956","1,67,526","1,34,840",132053.0,"84,018",99.0%,74.5%,80.5%,97.9%,47975.0,36.3%,37.0%,"₹1,16,20,465",7.33,₹130.39,"6,58,156",36.33010988012389
A Narayanapura,"3,80,520","3,78,236","2,97,503","1,50,915",148604.0,"83,641",99.4%,78.7%,50.7%,98.5%,64929.0,43.7%,22.0%,"₹1,29,60,687",7.84,₹144.20,"7,24,832",43.69263276896988
Dharmaraya Swamy Temple Ward,"3,66,440","3,64,066","2,97,903","1,56,645",154173.0,"81,338",99.4%,81.8%,52.6%,98.4%,72800.0,47.2%,22.2%,"₹1,17,91,632",8.25,₹144.28,"6,77,451",47.21968178604555
Ganesh Mandir ward,"1,94,825","1,93,315","1,48,871","1,17,351",115021.0,"81,053",99.2%,77.0%,78.8%,98.0%,33945.0,29.5%,41.6%,"₹92,25,801",6.34,₹114.06,"5,18,193",29.51200215612801
Maruthi Seva Nagar,"2,42,742","2,41,202","1,99,286","1,22,196",120619.0,"77,966",99.4%,82.6%,61.3%,98.7%,42616.0,35.3%,32.1%,"₹1,04,65,501",6.83,₹125.11,"5,88,080",35.33108382593124
Yediyur,"2,17,584","2,15,964","1,73,558","1,16,380",114022.0,"77,289",99.3%,80.4%,67.1%,98.0%,36701.0,32.2%,35.5%,"₹93,36,611",6.16,₹111.86,"5,24,159",32.18764799775482
RBI layout,"2,38,409","2,36,384","1,91,958","1,14,847",112912.0,"75,034",99.2%,81.2%,59.8%,98.3%,37859.0,33.5%,31.5%,"₹1,03,08,499",7.74,₹138.01,"5,86,125",33.52965140994757
Basavanagudi,"1,86,676","1,85,269","1,41,789","1,07,661",105222.0,"74,855",99.3%,76.5%,75.9%,97.7%,30342.0,28.8%,40.1%,"₹87,39,365",5.93,₹106.91,"4,94,307",28.836174944403258
Ashoka Pillar,"2,40,165","2,38,394","1,93,374","1,16,459",114382.0,"74,768",99.3%,81.1%,60.2%,98.2%,39588.0,34.6%,31.1%,"₹88,92,465",6.24,₹113.58,"4,95,915",34.61034078788621
Shanthi Nagar,"2,95,377","2,93,117","2,50,398","1,19,619",117491.0,"74,214",99.2%,85.4%,47.8%,98.2%,43247.0,36.8%,25.1%,"₹88,32,651",6.12,₹113.80,"4,89,106",36.80877684248155
Hebbala,"2,10,018","2,08,859","1,60,264","1,13,237",111227.0,"74,191",99.5%,76.7%,70.7%,98.2%,37015.0,33.3%,35.3%,"₹1,04,51,800",7.18,₹128.16,"6,00,960",33.278790221798666
Jakkasandra,"2,93,539","2,90,421","2,34,646","1,22,559",120381.0,"71,542",98.9%,80.8%,52.2%,98.2%,48812.0,40.6%,24.4%,"₹1,00,09,357",7.65,₹137.15,"5,61,808",40.5479269984466
Vasanthpura,"1,97,481","1,95,766","1,46,501","1,06,645",104593.0,"71,270",99.1%,74.8%,72.8%,98.1%,33305.0,31.8%,36.1%,"₹91,66,566",7.22,₹127.94,"5,22,826",31.842475117837715
Chatrapati Shivaji,"2,46,998","2,45,430","1,68,460","1,23,534",121287.0,"70,969",99.4%,68.6%,73.3%,98.2%,50282.0,41.5%,28.7%,"₹1,18,52,321",10.02,₹176.51,"6,84,706",41.45703991359338
Ganga Nagar,"1,88,574","1,87,413","1,43,991","1,05,956",103887.0,"70,862",99.4%,76.8%,73.6%,98.0%,33000.0,31.8%,37.6%,"₹91,41,119",6.67,₹120.88,"5,17,686",31.76528343296081
