Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Vishwanath Nagenahalli,154030,153201,118304,73656,72720,47891,99.5,77.2,62.3,98.7,24812,34.1,31.1,6530937,6.53,119.33,370828
HAL Airport,211250,209175,169890,75050,74006,47030,99.0,81.2,44.2,98.6,26966,36.4,22.3,7494305,8.55,151.55,428553
Vikram Nagar,119772,118755,89035,66520,64768,45251,99.2,75.0,74.7,97.4,19502,30.1,37.8,5800764,7.24,129.76,330132
Dodda Bommasandra,133094,132125,96560,68415,67164,44788,99.3,73.1,70.9,98.2,22363,33.3,33.7,6400370,8.04,140.8,373067
Hanumanth Nagar,111343,110436,78939,63637,62055,44418,99.2,71.5,80.6,97.5,17619,28.4,39.9,5196937,6.75,118.14,294931
Rajamahal Guttahalli,117569,116512,90080,64358,63260,44403,99.1,77.3,71.5,98.3,18841,29.8,37.8,5386551,6.3,113.9,304299
Gottigere,122130,121067,86790,66013,64702,44306,99.1,71.7,76.1,98.0,20384,31.5,36.3,6970268,9.04,155.56,405976
Okalipuram,138471,137027,105136,78599,77551,44243,99.0,76.7,74.8,98.7,33277,42.9,31.9,6159044,6.79,122.73,345240
Bande Mutt,148773,147190,93694,68336,66875,43599,98.9,63.7,72.9,97.9,23253,34.8,29.3,6521990,8.47,149.11,383759
Hosakerehalli,117622,116813,85572,69348,67711,43458,99.3,73.3,81.0,97.6,24243,35.8,37.0,5569815,7.32,129.03,321161
Sriramamandir,103115,102017,73067,62026,60894,43222,98.9,71.6,84.9,98.2,17655,29.0,41.9,5402455,6.58,117.45,311932
Chokkasandra,151979,151264,115735,74256,73111,43081,99.5,76.5,64.2,98.5,30011,41.0,28.3,4369042,5.01,96.47,237432
Tilak Nagar,165973,164860,135480,73314,71905,42761,99.3,82.2,54.1,98.1,29125,40.5,25.8,5238333,6.98,126.96,289803
Manorayanapalya,138726,137934,105934,67224,65761,42741,99.4,76.8,63.5,97.8,23005,35.0,30.8,5769512,7.13,128.85,326215
Srinagar,100697,99704,70561,59450,58086,41921,99.0,70.8,84.3,97.7,16144,27.8,41.6,5044899,6.68,118.81,289196
Kengeri,108258,107446,68375,57488,56271,39618,99.3,63.6,84.1,97.9,16645,29.6,36.6,6105084,8.4,144.76,362715
Marappana Palya,118135,117071,75583,62138,60885,39411,99.1,64.6,82.2,98.0,21463,35.3,33.4,5033661,6.87,122.99,287228
Hampi Nagar,95276,94422,65398,57118,55601,39198,99.1,69.3,87.3,97.3,16380,29.5,41.1,4996931,6.72,120.11,287236
Ullal,99172,98336,64672,56247,54815,39147,99.2,65.8,87.0,97.5,15658,28.6,39.5,6139405,9.6,162.23,367154
Naganathapura,171381,169665,131681,66576,65568,38620,99.0,77.6,50.6,98.5,26938,41.1,22.5,7416872,10.4,179.22,436687
Kamakya Nagar,109692,108757,82046,58708,57518,38541,99.2,75.4,71.5,98.0,18968,33.0,35.1,4704595,6.01,109.83,265949
Mangammanapalya,154378,152837,122653,67435,66180,38343,99.0,80.3,55.0,98.1,27818,42.0,24.8,5773897,7.84,140.92,325690
Doddagollarahatti,98783,97839,61840,54233,53145,38065,99.0,63.2,87.7,98.0,15069,28.3,38.5,6148958,9.0,151.89,369997
T Dasarahalli,116879,116132,81881,62233,61128,37945,99.4,70.5,76.0,98.2,23152,37.9,32.5,4428407,6.41,115.27,248636
Vidyapeeta ward,98218,97305,72769,57004,55960,37832,99.1,74.8,78.3,98.2,18111,32.4,38.5,4405252,6.19,112.18,247727
Chamundi Nagara,109038,108468,82395,56986,56063,37616,99.5,76.0,69.2,98.4,18434,32.9,34.5,4634638,5.79,108.06,258432
Atturu Layout,106263,105338,71258,55686,54548,37150,99.1,67.6,78.1,98.0,17385,31.9,35.0,6254460,9.0,169.54,372076
J P Park,107208,106388,77661,55905,54791,37081,99.2,73.0,72.0,98.0,17699,32.3,34.6,4936530,6.65,119.43,284992
Nagarabhavi,87574,86839,60510,52907,51678,36747,99.2,69.7,87.4,97.7,14920,28.9,42.0,5050626,7.73,134.74,295639
Marenahalli,83523,82785,56507,51111,49970,36141,99.1,68.3,90.5,97.8,13815,27.7,43.3,4340983,7.04,124.1,248263
Dr. Raj Kumar Ward,89477,88660,61954,52508,51412,35829,99.1,69.9,84.8,97.9,15561,30.3,40.0,4510924,7.15,126.07,257641
Jaraganahalli,110924,110009,85970,59511,58207,35674,99.2,78.1,69.2,97.8,22518,38.7,32.2,4062345,6.79,121.3,225413
Chickpete,185488,183645,150079,93173,92089,34980,99.0,81.7,62.1,98.8,57078,62.0,18.9,5808054,9.79,167.33,340988
Gali Anjenaya Temple ward,104178,103308,65657,55007,54258,34405,99.2,63.6,83.8,98.6,19834,36.5,33.0,5059895,8.23,144.08,288389
Vannarapete,99365,98763,79376,50576,49797,33723,99.4,80.4,63.7,98.5,16070,32.3,33.9,4082537,6.51,117.94,227962
Kammanahalli,111511,110898,87583,55916,55260,33576,99.5,79.0,63.8,98.8,21666,39.2,30.1,4412131,6.67,121.53,248871
Defence Colony,113502,112831,80837,56497,55754,33207,99.4,71.6,69.9,98.7,22522,40.4,29.3,3857800,6.09,111.03,217101
Kushal Nagar,106911,106401,82697,52289,51701,32787,99.5,77.7,63.2,98.9,18908,36.6,30.7,4058575,6.48,118.28,227574
Rajaji Nagar,78766,78002,52276,46245,45396,32404,99.0,67.0,88.5,98.2,12979,28.6,41.1,4107176,6.26,112.33,235670
Bommanahalli,152618,151217,122893,55029,54175,32011,99.1,81.3,44.8,98.4,22152,40.9,21.0,4456835,7.35,132.21,249748
Vijinapura,125088,124310,95925,52300,51728,31626,99.4,77.2,54.5,98.9,20092,38.8,25.3,4521821,7.46,134.92,255491
Srinivasa Nagar,74452,73908,51573,43303,42504,31259,99.3,69.8,84.0,98.2,11234,26.4,42.0,3641236,6.62,117.91,207210
Agaram,140342,139281,113197,52499,51730,31096,99.2,81.3,46.4,98.5,20624,39.9,22.2,4144647,7.01,127.39,229317
Gayithri Nagar,77922,77120,52814,44397,43591,31052,99.0,68.5,84.1,98.2,12526,28.7,39.9,3714235,6.33,114.27,211782
Vijayanagara Krishnadevaraya,79830,79216,51953,45187,44220,30360,99.2,65.6,87.0,97.9,13851,31.3,38.0,4021673,7.41,127.94,235209
Kammagondanahalli,88813,88177,63366,44948,44183,30124,99.3,71.9,70.9,98.3,14051,31.8,33.9,4642293,8.44,144.22,274443
Veerabhadranagar,83820,83214,58885,46701,45797,29394,99.3,70.8,79.3,98.1,16390,35.8,35.1,3313096,6.11,109.13,186855
Bharathi Nagar,113705,113062,92076,52147,51610,28677,99.4,81.4,56.6,99.0,22911,44.4,25.2,3577300,6.35,116.49,197970
Yelachenahalli,92064,91284,68402,48782,47953,28465,99.2,74.9,71.3,98.3,19475,40.6,30.9,3543903,6.32,115.22,199914
Deen Dayalu Ward,86800,86185,60896,45429,44423,28289,99.3,70.7,74.6,97.8,16127,36.3,32.6,3487579,7.42,131.25,198272
Kadugondanahalli,94784,94377,71903,46635,45936,28083,99.6,76.2,64.9,98.5,17837,38.8,29.6,3474646,6.17,113.46,193981
Sagayarapuram,98658,98158,79329,46502,46108,28010,99.5,80.8,58.6,99.2,18086,39.2,28.4,3270499,5.85,108.3,178616
